show_name,show_theater,show_type,num_of_attendance,capacity_filled,revenue,percentage_of_poss_profit,num_of_performances
'Night Mother,Royale,Play,32571,0.38299999999999995,1700078,0.26899999999999996,57
110 In The Shade,Studio 54,Musical,98213,0.8493333333333334,4971529,0.5673333333333334,94
13,Jacobs,Musical,59888,0.5235714285714286,3577388,0.3285714285714285,96
1776,Criterion,Musical,341257,0.7888636363636364,12979845,0.5154545454545455,325
1776,Gershwin,Musical,341257,0.7888636363636364,12979845,0.5154545454545455,325
33 Variations,Eugene O'Neill,Play,70012,0.57,4380302,0.35600000000000004,85
42Nd Street '01,Ford Center,Musical,2199186,0.7867875647668394,131200806,0.6511398963730569,1509
45 Seconds From Broadway,Richard Rodgers,Play,95966,0.6661538461538461,3839871,0.4676923076923077,73
9 To 5,Marquis,Musical,218823,0.7945454545454546,15231411,0.5054545454545455,148
A Behanding In Spokane,Schoenfeld,Play,94831,0.738,6848680,0.48533333333333334,108
A Bronx Tale,Walter Kerr,Play,74433,0.6142105263157894,4888172,0.5005263157894737,111
A Catered Affair,Walter Kerr,Musical,95542,0.7288888888888888,6453273,0.5322222222222223,116
A Chorus Line '06,Schoenfeld,Musical,674359,0.8175257731958763,53780422,0.6824742268041237,759
A Christmas Carol '01,Marquis,Play,12005,0.94,819397,0.9,8
A Christmas Story,Lunt-Fontanne,Musical,82008,0.9214285714285714,8172266,0.7557142857142857,51
A Class Act,Ambassador,Musical,68094,0.46294117647058824,2558362,0.2647058823529412,105
A Day In The Death Of Joe Egg,American Airlines,Play,63350,0.9191666666666667,2874477,0.6608333333333333,69
A Delicate Balance,Plymouth,Play,187407,0.8346153846153846,5995428,0.18153846153846154,185
A Delicate Balance 2014,Golden,Play,92749,0.85,11703597,0.7688235294117647,100
A Doll'S House,Belasco,Play,143989,0.8917391304347827,6495976,0.5256521739130435,150
A Free Man Of Color,Vivian Beaumont,Play,53082,0.6318181818181818,2591058,0.30272727272727273,53
A Funny Thing Happened On The Way To The Forum,St. James,Musical,924216,0.7622340425531915,48856284,0.27191489361702126,715
A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,741199,0.8838793103448276,72984951,0.6788793103448276,896
A Life In The Theatre,Schoenfeld,Play,45770,0.535,2583745,0.264,56
A Little More Magic,Belasco,Special,7896,0.35333333333333333,160000,0.41666666666666663,19
A Little Night Music,Walter Kerr,Musical,368614,0.890357142857143,38606667,0.7671428571428571,425
A Man For All Seasons,American Airlines,Play,64431,0.8535714285714286,3612196,0.5242857142857144,73
A Midsummer Night'S Dream,Lunt-Fontanne,Play,67830,0.604,2731254,0.46,65
A Month In The Country,Criterion,Play,7481,1,320994,0.805,15
A Moon For The Misbegotten 00,Walter Kerr,Play,97163,0.816875,5140269,0.724375,120
A Moon For The Misbegotten 07,Brooks Atkinson,Play,78866,0.9072727272727273,5912588,0.8018181818181819,71
A Naked Girl On The Appian Way,American Airlines,Play,57992,0.8158333333333333,3082541,0.7216666666666667,69
A Night With Janis Joplin,Lyceum,Musical,90089,0.7338095238095238,7234546,0.5342857142857143,140
A Raisin In The Sun,Royale,Play,116327,0.8993333333333333,7941028,0.8333333333333333,88
A Streetcar Named Desire '12,Broadhurst,Play,97561,0.653125,6060065,0.37,105
A Streetcar Named Desire 05,Studio 54,Play,77997,0.7393333333333334,4079447,0.6126666666666667,73
A Streetcar Named Desire 92,Ethel Barrymore,Play,146568,0.7966666666666667,5947347,0.7376190476190476,137
A Tale Of Two Cities,Al Hirschfeld,Musical,77436,0.5908333333333333,4655502,0.39916666666666667,60
A Thousand Clowns 01,Longacre,Play,56664,0.5708333333333333,2658624,0.425,83
A Time To Kill,Golden,Play,32130,0.74,1720560,0.3725,33
A Touch Of The Poet,Studio 54,Play,69042,0.7566666666666667,3609646,0.6291666666666667,58
A View From The Bridge,Criterion,Play,188903,0.7568571428571428,6475447,0.564,239
A View From The Bridge,Neil Simon,Play,188903,0.7568571428571428,6475447,0.564,239
A View From The Bridge '10,Cort,Play,116582,0.9735714285714286,10935941,0.9028571428571429,81
A View From The Bridge 2015,Lyceum,Play,115746,0.8005555555555556,8427267,0.56,115
A Year With Frog And Toad,Cort,Musical,40267,0.4345454545454545,1736421,0.31181818181818183,73
Absurd Person Singular,Biltmore,Play,37235,0.6809090909090909,1816196,0.4572727272727273,56
Accent On Youth,Friedman,Play,41751,0.675,2028775,0.37666666666666665,71
Act One,Vivian Beaumont,Play,72546,0.6823076923076923,4761068,0.3630769230769231,67
After Midnight,Brooks Atkinson,Musical,244603,0.8154054054054055,21234352,0.5889189189189189,273
After Miss Julie,American Airlines,Play,54538,0.7983333333333333,2534646,0.345,53
After The Fall,American Airlines,Play,57353,0.8475,2998486,0.725,53
After The Night And The Music,Biltmore,Play,33008,0.6609999999999999,1558313,0.436,38
"Ah, Wilderness",Vivian Beaumont,Play,66008,0.729090909090909,1721052,0.35090909090909095,54
Aida,Palace,Musical,2714193,0.8493670886075949,165928398,0.7737974683544304,1852
Airline Highway,Friedman,Play,36708,0.75,1521105,0.303,53
Aladdin,New Amsterdam,Musical,1753035,0.987984496124031,190338628,0.9634108527131783,1008
All About Me,Henry Miller (Rndabt),Musical,26494,0.5416666666666666,1354494,0.24666666666666667,20
All My Sons 08,Schoenfeld,Play,128332,0.92,11029640,0.8147058823529412,101
All Shook Up,Palace,Musical,298652,0.7225,14447491,0.4715625,213
All The Way,Neil Simon,Play,177511,0.7915000000000001,19492726,0.726,131
Allegiance,Longacre,Musical,113152,0.723157894736842,8614614,0.49526315789473685,111
Amadeus,Music Box,Play,116726,0.6713636363636364,5019461,0.48863636363636365,173
Amazing Grace,Nederlander,Musical,92670,0.5694444444444444,5540127,0.2866666666666667,116
American Buffalo,Belasco,Play,14607,0.5225,739550,0.305,8
American Idiot,St. James,Musical,510723,0.6675438596491228,39798052,0.5189473684210526,422
American Psycho,Schoenfeld,Musical,72358,0.8745454545454545,5627480,0.5363636363636364,54
Amour,Music Box,Musical,29103,0.63,1338399,0.37714285714285717,17
Amy'S View,Ethel Barrymore,Play,117926,0.935,5911176,0.794375,103
An Act Of God,Studio 54,Play,91199,0.9076923076923077,11082666,0.8807692307692307,76
An Act Of God 2016,Booth,Play,44188,0.705,3495760,0.42,75
An Almost Holy Picture,American Airlines,Play,56198,0.8636363636363636,2534937,0.6590909090909091,69
An American Daughter,Cort,Play,93476,0.7513333333333334,2712516,0.126,89
An American In Paris,Palace,Musical,799029,0.8117333333333333,78682788,0.7304,559
An Enemy Of The People,Friedman,Play,41886,0.7627272727272727,1967382,0.3281818181818182,59
An Evening With Jerry Herman,Booth,Musical,11345,0.3516666666666666,365391,0.205,28
An Evening With Patti Lupone And Mandy Patinkin,Ethel Barrymore,Special,41613,0.6277777777777778,3740974,0.46888888888888886,57
An Ideal Husband,Ethel Barrymore,Play,220920,0.6415000000000001,7755341,0.058499999999999996,307
Ann,Vivian Beaumont,Play,84060,0.5010526315789474,5251537,0.26263157894736844,132
Anna In The Tropics,Royale,Play,67446,0.4875,3115592,0.335,113
Annie,Martin Beck,Musical,253160,0.7059375,12836836,0.336875,239
Annie '12,Palace,Musical,677853,0.7890909090909091,59051957,0.6566666666666667,487
Annie Get Your Gun,Marquis,Musical,1415850,0.8213333333333334,82148713,0.7695555555555554,1045
Anything Goes '11,Stephen Sondheim,Musical,515954,0.9085714285714286,47288859,0.6582857142857143,521
Arcadia,Vivian Beaumont,Play,82522,0.74,2986504,0.6569230769230769,104
Arcadia '11,Ethel Barrymore,Play,78061,0.608235294117647,4881785,0.37411764705882355,108
Art,Royale,Play,529168,0.7956410256410257,24287247,0.691923076923077,600
Assassins,Studio 54,Musical,106080,0.914375,6024383,0.8275,101
August: Osage County,Imperial,Play,463842,0.6329761904761905,32835606,0.4980952380952381,648
August: Osage County,Music Box,Play,463842,0.6329761904761905,32835606,0.4980952380952381,648
Avenue Q,Golden,Musical,1731068,0.849563862928349,121918918,0.7562616822429906,2534
Awake And Sing!,Belasco,Play,74205,0.68714285714285706,3384141,0.4542857142857143,80
Aznavour,Marquis,Special,24766,0.65,1331285,0.6625,23
Baby It'S You!,Broadhurst,Musical,159952,0.7758333333333333,9111694,0.40458333333333335,148
Band In Berlin,Helen Hayes,Musical,10438,0.504,383380,0.284,17
Barbara Cook: Mostly Sondheim,Vivian Beaumont,Special,28176,0.8566666666666667,1202305,0.695,26
Barbara Cook'S Broadway,Vivian Beaumont,Special,10298,0.82,438437,0.6,7
Barefoot In The Park,Cort,Play,82769,0.5558823529411765,4501355,0.468235294117647,109
Barrymore,Music Box,Play,174965,0.703529411764706,6566575,0.6720588235294117,236
Bea Arthur On Broadway,Booth,Special,37143,0.54,1715877,0.4309090909090909,65
Beautiful,Stephen Sondheim,Musical,1092739,0.9337762237762237,143568862,0.8318881118881118,1080
Beauty And The Beast,Palace,Musical,7609397,0.8604202898550725,429158458,0.5626376811594203,5461
Beauty And The Beast,Lunt-Fontanne,Musical,7609397,0.8604202898550725,429158458,0.5626376811594203,5461
Bells Are Ringing,Plymouth,Musical,71017,0.6676923076923077,3527176,0.4461538461538461,68
Bengal Tiger At The Bagdhad Zoo,Richard Rodgers,Play,97721,0.5588235294117647,7889821,0.3911764705882353,108
Betrayal,American Airlines,Play,77520,0.893125,3934071,0.75875,89
Big Fish,Neil Simon,Musical,146730,0.8023529411764706,10858194,0.4894117647058823,98
Big River '03,American Airlines,Musical,60161,0.8691666666666668,2802669,0.5633333333333334,67
Bill Maher: Victory Begins At Home,Virginia,Special,12034,0.4,533861,0.3133333333333333,16
Billy Elliot: The Musical,Imperial,Musical,1787108,0.9298830409356725,183514378,0.8431578947368421,1312
Blackbird,Belasco,Play,107039,0.7342105263157894,7855675,0.49473684210526314,108
Blast!,Broadway,Musical,203655,0.62,8169127,0.3724,180
Blithe Spirit '09,Shubert,Play,162121,0.6638095238095238,11603724,0.5042857142857143,145
Bloody Bloody Andrew Jackson,Jacobs,Musical,91636,0.74,5629559,0.402,94
Bobbi Boland,Cort,Play,2570,0.34,100389,0.19,0
