show_name,show_type,num_of_attendance,occupancy_percentage,revenue,percentage_of_poss_revenue,num_of_performances,revenue_per_att,ln_capacity_filled,ln_revenue_per_att,ln_percentage_of_poss_profit,ln_num_of_performances,capacity_filled_sq
The Bridges Of Madison County,Musical,101215,0.7322222222222220,6729931,0.3927777777777780,100,66.49143901595610,-0.31167122882180300,4.197073202772380,-0.9345112779876830,4.605170185988090,0.5361493827160500
The Old Neighborhood,Play,111014,0.6888461538461540,3820480,0.48307692307692300,197,34.414398184012800,-0.37273732194886200,3.5384750286717900,-0.7275793769814300,5.2832037287379900,0.4745090236686390
Bill Maher: Victory Begins At Home,Special,12034,0.4,533861,0.3133333333333330,16,44.362722286853900,-0.916290731874155,3.792399528652740,-1.1604876923862000,2.772588722239780,0.16000000000000000
Radio Golf,Play,46200,0.5263636363636360,1825735,0.29818181818181800,64,39.518073593073600,-0.6417629812134670,3.676758126577050,-1.2100518504023200,4.1588830833596700,0.27705867768595000
American Idiot,Musical,510723,0.6675438596491230,39798052,0.5189473684210530,422,77.92492603622710,-0.40415018352685500,4.355745876486790,-0.6559528105518970,6.045005314036010,0.4456148045552480
Amadeus,Play,116726,0.6713636363636360,5019461,0.48863636363636400,173,43.00208179839970,-0.3984443568150270,3.761248528437920,-0.716136698784644,5.153291594497780,0.450729132231405
The Apple Tree,Musical,87752,0.7466666666666670,4777523,0.4993333333333330,99,54.44346567599600,-0.29213642280116100,3.9971628362271900,-0.6944814035730820,4.59511985013459,0.5575111111111110
Fortune'S Fool,Play,98735,0.634,4318899,0.4305,127,43.74233048057930,-0.4557063245449110,3.77831629413516,-0.8428079551143520,4.844187086458590,0.40195600000000000
Liza'S At The Palace,Special,31431,0.848,3059851,0.86,22,97.35137284846170,-0.164874643190234,4.578326833911500,-0.15082288973458400,3.091042453358320,0.719104
The Graduate,Play,321840,0.7431372549019610,17834908,0.6435294117647060,380,55.41544867014670,-0.29687452063594500,4.014858411741740,-0.4407875470623810,5.940171252720430,0.5522529796232220
An Evening With Jerry Herman,Musical,11345,0.3516666666666670,365391,0.205,28,32.20722785368000,-1.04507152174008,3.4721908948668900,-1.584745299843730,3.332204510175200,0.12366944444444400
Thou Shalt Not,Musical,85740,0.7053333333333330,3894953,0.4306666666666670,85,45.427490086307400,-0.3490847746720570,3.8161174303099700,-0.8424208833077000,4.442651256490320,0.49749511111111100
Who'S Afraid Of Virginia Woolf? '12,Play,82952,0.6708695652173910,6444452,0.4230434782608700,142,77.68892853698520,-0.3991805495540800,4.352712757349470,-0.8602803197312360,4.955827057601260,0.4500659735349720
The Snow Geese,Play,44083,0.7981818181818180,2376183,0.38727272727272700,60,53.902479413833,-0.22541886515134500,3.9871764771136100,-0.9486261125170920,4.0943445622221,0.6370942148760330
Bronx Bombers,Play,29511,0.635,1212059,0.2275,29,41.07143099183360,-0.4541302800894450,3.7153127701136900,-1.480605040591130,3.367295829986470,0.403225
Into The Woods '02,Musical,233472,0.6889473684210530,14731618,0.5205263157894740,279,63.09800746984650,-0.3725903992446320,4.144689191708600,-0.6529148335318200,5.631211781821370,0.47464847645429400
The Shadow Box,Play,27956,0.5777777777777780,636598,0.2911111111111110,49,22.7714265274002,-0.5485659517488380,3.1255065275379500,-1.234050259563210,3.8918202981106300,0.3338271604938270
Mandy Patinkin In Concert: Mamaloshen,Special,17344,0.615,726465,0.58,28,41.88566651291510,-0.4861330111756190,3.7349436804053900,-0.5447271754416720,3.332204510175200,0.378225
The Real Thing 2014,Play,75040,0.937857142857143,6214364,0.7264285714285710,76,82.81401918976550,-0.06415764130055370,4.416597360945290,-0.31961511955479000,4.330733340286330,0.8795760204081630
A Thousand Clowns 01,Play,56664,0.5708333333333330,2658624,0.425,83,46.919102075391800,-0.5606579975138670,3.848424886249040,-0.8556661100577200,4.418840607796600,0.3258506944444440
Finding Neverland,Musical,713876,0.8088,63493938,0.5869333333333330,557,88.94253063557260,-0.21220361127587500,4.487990437967310,-0.5328440374379950,6.322565239927280,0.65415744
Miss Saigon,Musical,5843972,0.8593660531697340,272191859,0.2931288343558280,3885,46.57651662259850,-0.15156030903843100,3.8410964789762400,-1.2271430589091000,8.264878262801750,0.73851001334052600
Shuffle Along,Musical,131619,0.9915789473684210,15174445,0.8036842105263160,100,115.29068751472100,-0.008456710018223400,4.74745665657794,-0.2185488599358990,4.605170185988090,0.983228808864266
Elf '12,Musical,85472,0.8155555555555560,8156846,0.5988888888888890,74,95.43296050168480,-0.20388573470979500,4.558424016704800,-0.5126791924153140,4.30406509320417,0.6651308641975310
Dr. Seuss' How The Grinch Stole Christmas! 07,Musical,133583,0.6933333333333330,9559565,0.5722222222222220,96,71.56273627632260,-0.3662443949548830,4.270574495420980,-0.5582278626605750,4.564348191467840,0.480711111111111
Race,Play,197595,0.58325,14939910,0.40550000000000000,297,75.60874516055570,-0.5391393680805980,4.3255719532223800,-0.9026344054266700,5.6937321388027,0.34018056250000000
Bye Bye Birdie,Musical,152597,0.948,11485459,0.5885,117,75.26661074595180,-0.053400776727115300,4.321036620079310,-0.5301783522818060,4.762173934797760,0.898704
La Cage Aux Folles '04,Musical,275385,0.6781818181818180,16381491,0.48545454545454500,229,59.4857780924887,-0.38833985858270100,4.085737260325230,-0.722669619826267,5.43372200355424,0.4599305785123970
Desire Under The Elms,Play,26397,0.39333333333333300,1381950,0.215,32,52.35254006137060,-0.9330978501905360,3.9580004568915200,-1.5371172508544700,3.4657359027997300,0.15471111111111100
Eclipsed,Play,77911,0.7217647058823530,5744145,0.42411764705882400,121,73.72700902311610,-0.32605608533339600,4.30036920455883,-0.8577443927593580,4.795790545596740,0.5209442906574390
Dance Of Death,Play,108898,0.6788235294117650,5426431,0.5147058823529410,108,49.83040092563680,-0.3873940829762630,3.9086252581296400,-0.6641596436866930,4.68213122712422,0.46080138408304500
Fool Moon '98,Special,44657,0.7685714285714290,1686553,0.6228571428571430,49,37.76682267057800,-0.26322177488162000,3.631431010087540,-0.4734380916943700,3.8918202981106300,0.5907020408163270
Jackie Mason:  Politically Incorrect,Play,2343,0.42,57491,0.25,7,24.537345283824200,-0.8675005677047230,3.20019625428771,-1.3862943611198900,1.9459101490553100,0.17640000000000000
A Tale Of Two Cities,Musical,77436,0.5908333333333330,4655502,0.39916666666666700,60,60.12064156206420,-0.5262213092439640,4.096353236186190,-0.9183762383651770,4.0943445622221,0.34908402777777800
The Importance Of Being Earnest,Play,122818,0.7560714285714290,8012925,0.4267857142857140,189,65.2422690485108,-0.27961942502843000,4.178107557168100,-0.8514732317976840,5.241747015059640,0.5716440051020410
Lennon,Musical,54449,0.5041666666666670,3596685,0.4725,49,66.05603408694370,-0.6848483777452500,4.190503383146000,-0.7497175320483400,3.8918202981106300,0.25418402777777800
Reasons To Be Pretty,Play,43457,0.4457142857142860,1936204,0.23285714285714300,85,44.554479140299600,-0.8080771472339220,3.7967126907326200,-1.4573301342366400,4.442651256490320,0.1986612244897960
The Smell Of The Kill,Play,17858,0.51125,533380,0.2225,40,29.86784634337550,-0.6708965716251260,3.3967825286368400,-1.502828177375840,3.6888794541139400,0.26137656250000000
I'M Still Here...Damn It!,Play,32876,0.6745454545454550,1228086,0.5527272727272730,51,37.35509186032360,-0.39371621561908100,3.620469230541960,-0.5928905768202950,3.9318256327243300,0.4550115702479340
42Nd Street '01,Musical,2199186,0.7867875647668390,131200806,0.6511398963730570,1509,59.65880375739020,-0.23979699741312800,4.08864172788642,-0.42903076527783200,7.319202458767850,0.6190346720717340
Sylvia,Play,75926,0.6707142857142860,4453376,0.37428571428571400,79,58.65416326423100,-0.3994120363950870,4.07165855747755,-0.9827358312823080,4.3694478524670200,0.4498576530612250
Hamlet '09,Play,99759,0.8746153846153850,10010252,0.8284615384615380,72,100.34434988321900,-0.133971049699092,4.6086077695537600,-0.18818486629324000,4.276666119016060,0.7649520710059170
Let It Be,Special,48350,0.5142857142857140,2535797,0.2785714285714290,46,52.44668045501550,-0.6649763035932490,3.9597970431352400,-1.2780807764796600,3.828641396489100,0.2644897959183670
High Fidelity,Musical,20022,0.435,1096116,0.28,14,54.74557986215160,-0.8324092478934530,4.002696632326130,-1.2729656758128900,2.6390573296152600,0.189225
Enron,Play,27431,0.612,1489074,0.294,16,54.28434982319270,-0.491022996469811,3.9942359685133100,-1.2241755116434600,2.772588722239780,0.374544
33 Variations,Play,70012,0.57,4380302,0.35600000000000000,85,62.56501742558420,-0.5621189181535410,4.136206294836670,-1.0328245481301100,4.442651256490320,0.32490000000000000
Losing Louie,Play,30824,0.618,1548011,0.39900000000000000,53,50.22096418375290,-0.4812668215244460,3.9164325527437200,-0.9187938620922740,3.970291913552120,0.381924
Relatively Speaking,Play,126852,0.7773684210526320,10077527,0.5657894736842110,117,79.44318575978310,-0.251840882623152,4.375042121649130,-0.5695332245927690,4.762173934797760,0.6043016620498620
Jesus Christ Superstar '12,Musical,141223,0.7216666666666670,10882991,0.5088888888888890,116,77.06245441606540,-0.32619192721365700,4.344616189405370,-0.6755255792101260,4.7535901911063600,0.5208027777777780
Martin Short: Fame Becomes Me,Musical,143480,0.7495833333333330,10842526,0.61125,165,75.5682046278227,-0.28823778238550400,4.325035621013510,-0.4922492381930550,5.10594547390058,0.5618751736111110
Hot Feet,Musical,76824,0.39285714285714300,3766746,0.21714285714285700,97,49.03084973445800,-0.9343092373768330,3.8924496864217500,-1.5271998141971300,4.574710978503380,0.15433673469387800
How To Succeed In Business Without Really Trying '11,Musical,628957,0.8827692307692310,59740764,0.6967692307692310,473,94.98386058188400,-0.12469145934241800,4.553706988556090,-0.3613010123275150,6.159095388491930,0.7792815147929000
Seascape,Play,38021,0.6336363636363640,1526743,0.3190909090909090,55,40.155256305725800,-0.45628004802593800,3.6927533485294300,-1.1422792353206000,4.007333185232470,0.40149504132231400
A Gentleman'S Guide To Love And Murder,Musical,741199,0.8838793103448280,72984951,0.6788793103448280,896,98.46876614782270,-0.12343475242436500,4.589739402946850,-0.38731191340062200,6.79794041297493,0.7812426352556480
Cirque Dreams: Jungle Fantasy,Special,92789,0.665,5166140,0.507,70,55.67621161991180,-0.4079682383262830,4.019552975275950,-0.6792442753909540,4.248495242049360,0.44222500000000000
On The Twentieth Century,Musical,123479,0.9656521739130440,11298280,0.6230434782608700,144,91.499607220661,-0.034951578022813600,4.516334679601890,-0.4731389740890690,4.969813299576000,0.9324841209829870
The Odd Couple 05,Play,296923,0.9945714285714290,28938436,0.9834285714285710,249,97.46107913499460,-0.0054433596660661700,4.579453109947890,-0.016710270706020300,5.517452896464710,0.9891723265306120
A Delicate Balance 2014,Play,92749,0.85,11703597,0.7688235294117650,100,126.18569472447100,-0.16251892949777500,4.837754589676290,-0.2628938164200860,4.605170185988090,0.7225000000000000
